country,Freedom_in_the_World_2018,Index_of_Economic_Freedom_2018,Press_Freedom_Index_2018,Democracy_Index_2017
Abkhazia,partly free,n/a,n/a,n/a
Afghanistan,not free,mostly unfree,difficult situation,authoritarian regime
Albania,partly free,moderately free,noticeable problems,hybrid regime
Algeria,not free,repressed,difficult situation,authoritarian regime
Andorra,free,n/a,satisfactory situation,n/a
Angola,not free,repressed,difficult situation,authoritarian regime
Antigua and Barbuda,free,n/a,satisfactory situation,n/a
Argentina,free,mostly unfree,noticeable problems,flawed democracy
Armenia,partly free,moderately free,noticeable problems,hybrid regime
Australia,free,free,satisfactory situation,full democracy
Austria,free,mostly free,good situation,full democracy
Azerbaijan,not free,moderately free,very serious situation,authoritarian regime
Bahamas,free,moderately free,satisfactory situation,n/a
Bahrain,not free,moderately free,very serious situation,authoritarian regime
Bangladesh,partly free,mostly unfree,difficult situation,hybrid regime
Barbados,free,mostly unfree,satisfactory situation,n/a
Belarus,not free,mostly unfree,difficult situation,authoritarian regime
Belgium,free,moderately free,good situation,flawed democracy
Belize,free,mostly unfree,satisfactory situation,n/a
Benin,free,mostly unfree,noticeable problems,hybrid regime
Bhutan,partly free,moderately free,noticeable problems,hybrid regime
Bolivia,partly free,repressed,noticeable problems,hybrid regime
Bosnia and Herzegovina,partly free,moderately free,noticeable problems,hybrid regime
Botswana,free,moderately free,noticeable problems,flawed democracy
Brazil,free,mostly unfree,noticeable problems,flawed democracy
Brunei,not free,moderately free,difficult situation,n/a
Bulgaria,free,moderately free,difficult situation,flawed democracy
Burkina Faso,partly free,moderately free,satisfactory situation,hybrid regime
Burma,partly free,mostly unfree,difficult situation,authoritarian regime
Burundi,not free,mostly unfree,very serious situation,authoritarian regime
Cambodia,not free,mostly unfree,difficult situation,authoritarian regime
Cameroon,not free,mostly unfree,difficult situation,authoritarian regime
Canada,free,mostly free,satisfactory situation,full democracy
Cape Verde,free,moderately free,satisfactory situation,flawed democracy
Central African Republic,not free,repressed,difficult situation,authoritarian regime
Chad,not free,repressed,difficult situation,authoritarian regime
Chile,free,mostly free,satisfactory situation,flawed democracy
China,not free,mostly unfree,very serious situation,authoritarian regime
Colombia,partly free,moderately free,difficult situation,flawed democracy
Comoros,partly free,mostly unfree,noticeable problems,authoritarian regime
Costa Rica,free,moderately free,good situation,flawed democracy
Democratic Republic of the Congo,not free,mostly unfree,difficult situation,authoritarian regime
Republic of the Congo,not free,repressed,difficult situation,authoritarian regime
Croatia,free,moderately free,noticeable problems,flawed democracy
Cuba,not free,repressed,very serious situation,authoritarian regime
Cyprus,free,moderately free,satisfactory situation,flawed democracy
Czech Republic,free,mostly free,satisfactory situation,flawed democracy
Denmark,free,mostly free,good situation,full democracy
Djibouti,not free,repressed,very serious situation,authoritarian regime
Dominica,free,moderately free,satisfactory situation,n/a
Dominican Republic,partly free,moderately free,noticeable problems,flawed democracy
East Timor,free,repressed,noticeable problems,flawed democracy
Ecuador,partly free,repressed,noticeable problems,flawed democracy
Egypt,not free,mostly unfree,very serious situation,authoritarian regime
El Salvador,free,moderately free,noticeable problems,flawed democracy
Equatorial Guinea,not free,repressed,very serious situation,authoritarian regime
Eritrea,not free,repressed,very serious situation,authoritarian regime
Estonia,free,mostly free,good situation,flawed democracy
Ethiopia,not free,mostly unfree,difficult situation,authoritarian regime
Fiji,partly free,moderately free,noticeable problems,hybrid regime
Finland,free,mostly free,good situation,full democracy
France,free,moderately free,satisfactory situation,flawed democracy
Gabon,not free,mostly unfree,noticeable problems,authoritarian regime
Gambia,partly free,mostly unfree,difficult situation,hybrid regime
Gaza Strip,not free,n/a,difficult situation,n/a
Georgia,partly free,mostly free,noticeable problems,hybrid regime
Germany,free,mostly free,good situation,full democracy
Ghana,free,mostly unfree,satisfactory situation,flawed democracy
Greece,free,mostly unfree,noticeable problems,flawed democracy
Grenada,free,n/a,satisfactory situation,n/a
Guatemala,partly free,moderately free,difficult situation,hybrid regime
Guinea,partly free,mostly unfree,noticeable problems,authoritarian regime
Guinea-Bissau,partly free,mostly unfree,noticeable problems,authoritarian regime
Guyana,free,mostly unfree,noticeable problems,flawed democracy
Haiti,partly free,mostly unfree,noticeable problems,hybrid regime
Honduras,partly free,moderately free,difficult situation,hybrid regime
Hong Kong,partly free,free,noticeable problems,flawed democracy
Hungary,free,moderately free,noticeable problems,flawed democracy
Iceland,free,mostly free,good situation,full democracy
India,free,mostly unfree,difficult situation,flawed democracy
Indonesia,partly free,moderately free,difficult situation,flawed democracy
Iran,not free,mostly unfree,very serious situation,authoritarian regime
Iraq,not free,n/a,very serious situation,hybrid regime
Ireland,free,free,good situation,full democracy
Israel,free,mostly free,noticeable problems,flawed democracy
Italy,free,moderately free,satisfactory situation,flawed democracy
Ivory Coast,partly free,moderately free,noticeable problems,authoritarian regime
Jamaica,free,moderately free,good situation,flawed democracy
Japan,free,mostly free,noticeable problems,flawed democracy
Jordan,partly free,moderately free,difficult situation,authoritarian regime
Kazakhstan,not free,moderately free,difficult situation,authoritarian regime
Kenya,partly free,mostly unfree,noticeable problems,hybrid regime
Kiribati,free,mostly unfree,n/a,n/a
North Korea,not free,repressed,very serious situation,authoritarian regime
South Korea,free,mostly free,satisfactory situation,flawed democracy
Kosovo,partly free,moderately free,noticeable problems,n/a
Kuwait,partly free,moderately free,noticeable problems,authoritarian regime
Kyrgyzstan,partly free,moderately free,noticeable problems,hybrid regime
Laos,not free,mostly unfree,very serious situation,authoritarian regime
Latvia,free,mostly free,satisfactory situation,flawed democracy
Lebanon,partly free,mostly unfree,noticeable problems,hybrid regime
Lesotho,partly free,mostly unfree,noticeable problems,flawed democracy
Liberia,partly free,mostly unfree,noticeable problems,hybrid regime
Libya,not free,n/a,very serious situation,authoritarian regime
Liechtenstein,free,n/a,satisfactory situation,n/a
Lithuania,free,mostly free,satisfactory situation,flawed democracy
Luxembourg,free,mostly free,good situation,full democracy
Macau,n/a,mostly free,n/a,n/a
Macedonia,partly free,mostly free,noticeable problems,hybrid regime
Madagascar,partly free,mostly unfree,noticeable problems,hybrid regime
Malawi,partly free,mostly unfree,noticeable problems,hybrid regime
Malaysia,partly free,mostly free,difficult situation,flawed democracy
Maldives,partly free,mostly unfree,difficult situation,n/a
Mali,partly free,mostly unfree,difficult situation,hybrid regime
Malta,free,moderately free,noticeable problems,full democracy
Marshall Islands,free,n/a,n/a,n/a
Mauritania,not free,mostly unfree,noticeable problems,authoritarian regime
Mauritius,free,mostly free,noticeable problems,full democracy
Mexico,partly free,moderately free,difficult situation,flawed democracy
Federated States of Micronesia,free,mostly unfree,n/a,n/a
Moldova,partly free,mostly unfree,noticeable problems,hybrid regime
Monaco,free,n/a,n/a,n/a
Mongolia,free,mostly unfree,noticeable problems,flawed democracy
Montenegro,partly free,moderately free,noticeable problems,hybrid regime
Morocco,partly free,moderately free,difficult situation,hybrid regime
Mozambique,partly free,repressed,noticeable problems,hybrid regime
Nagorno-Karabakh,partly free,n/a,n/a,n/a
Namibia,free,mostly unfree,satisfactory situation,flawed democracy
Nauru,free,n/a,n/a,n/a
Nepal,partly free,mostly unfree,noticeable problems,hybrid regime
Netherlands,free,mostly free,good situation,full democracy
New Zealand,free,free,good situation,full democracy
Nicaragua,partly free,mostly unfree,noticeable problems,hybrid regime
Niger,partly free,repressed,noticeable problems,authoritarian regime
Nigeria,partly free,mostly unfree,difficult situation,hybrid regime
Northern Cyprus,free,n/a,noticeable problems,n/a
Norway,free,mostly free,good situation,full democracy
Oman,not free,moderately free,difficult situation,authoritarian regime
Pakistan,partly free,mostly unfree,difficult situation,hybrid regime
Palau,free,n/a,n/a,n/a
Palestine,not free,n/a,difficult situation,hybrid regime
Panama,free,moderately free,noticeable problems,flawed democracy
Papua New Guinea,partly free,mostly unfree,noticeable problems,flawed democracy
Paraguay,partly free,moderately free,noticeable problems,flawed democracy
Peru,free,moderately free,noticeable problems,flawed democracy
Philippines,partly free,moderately free,difficult situation,flawed democracy
Poland,free,moderately free,noticeable problems,flawed democracy
Portugal,free,moderately free,good situation,flawed democracy
Qatar,not free,mostly free,difficult situation,authoritarian regime
Romania,free,moderately free,satisfactory situation,flawed democracy
Russia,not free,mostly unfree,difficult situation,authoritarian regime
Rwanda,not free,moderately free,difficult situation,authoritarian regime
Saint Kitts and Nevis,free,n/a,satisfactory situation,n/a
Saint Lucia,free,moderately free,satisfactory situation,n/a
Saint Vincent and the Grenadines,free,moderately free,satisfactory situation,n/a
Samoa,free,moderately free,satisfactory situation,n/a
San Marino,free,n/a,n/a,n/a
São Tomé and Príncipe,free,mostly unfree,n/a,n/a
Saudi Arabia,not free,mostly unfree,very serious situation,authoritarian regime
Senegal,free,mostly unfree,noticeable problems,flawed democracy
Serbia,free,moderately free,noticeable problems,flawed democracy
Seychelles,partly free,moderately free,noticeable problems,n/a
Sierra Leone,partly free,mostly unfree,noticeable problems,hybrid regime
Singapore,partly free,free,difficult situation,flawed democracy
Slovakia,free,moderately free,satisfactory situation,flawed democracy
Slovenia,free,moderately free,satisfactory situation,flawed democracy
Solomon Islands,free,mostly unfree,n/a,n/a
Somalia,not free,n/a,very serious situation,n/a
Somaliland,partly free,n/a,n/a,n/a
South Africa,free,moderately free,satisfactory situation,flawed democracy
South Ossetia,not free,n/a,n/a,n/a
South Sudan,not free,n/a,difficult situation,n/a
Spain,free,moderately free,satisfactory situation,full democracy
Sri Lanka,partly free,mostly unfree,difficult situation,flawed democracy
Sudan,not free,repressed,very serious situation,authoritarian regime
Suriname,free,repressed,satisfactory situation,flawed democracy
Eswatini,not free,mostly unfree,difficult situation,authoritarian regime
Sweden,free,mostly free,good situation,full democracy
Switzerland,free,free,good situation,full democracy
Syria,not free,n/a,very serious situation,authoritarian regime
Taiwan,free,mostly free,satisfactory situation,flawed democracy
Tajikistan,not free,mostly unfree,difficult situation,authoritarian regime
Tanzania,partly free,mostly unfree,noticeable problems,hybrid regime
Thailand,not free,moderately free,difficult situation,hybrid regime
Togo,partly free,repressed,noticeable problems,authoritarian regime
Tonga,free,moderately free,noticeable problems,n/a
Transnistria,not free,n/a,n/a,n/a
Trinidad and Tobago,free,mostly unfree,satisfactory situation,flawed democracy
Tunisia,free,mostly unfree,noticeable problems,flawed democracy
Turkey,not free,moderately free,difficult situation,hybrid regime
Turkmenistan,not free,repressed,very serious situation,authoritarian regime
Tuvalu,free,n/a,n/a,n/a
Uganda,partly free,moderately free,difficult situation,hybrid regime
Ukraine,partly free,mostly unfree,noticeable problems,hybrid regime
United Arab Emirates,not free,mostly free,difficult situation,authoritarian regime
United Kingdom,free,mostly free,satisfactory situation,full democracy
United States,free,mostly free,satisfactory situation,flawed democracy
Uruguay,free,moderately free,satisfactory situation,full democracy
Uzbekistan,not free,mostly unfree,very serious situation,authoritarian regime
Vanuatu,free,moderately free,n/a,n/a
Venezuela,not free,repressed,difficult situation,authoritarian regime
Vietnam,not free,mostly unfree,very serious situation,authoritarian regime
West Bank,not free,n/a,difficult situation,n/a
Western Sahara,not free,n/a,n/a,n/a
Yemen,not free,n/a,very serious situation,authoritarian regime
Zambia,partly free,mostly unfree,difficult situation,hybrid regime
Zimbabwe,not free,repressed,difficult situation,authoritarian regime
